quarter,owner_id,segment,target_amount
2024 Q1,owner_1,SMB,42000.0
2024 Q1,owner_2,SMB,42000.0
2024 Q1,owner_3,SMB,42000.0
2024 Q1,owner_4,SMB,42000.0
2024 Q1,owner_5,SMB,42000.0
2024 Q1,owner_6,Mid-Market,52000.0
2024 Q1,owner_7,Mid-Market,52000.0
2024 Q1,owner_8,Mid-Market,52000.0
2024 Q1,owner_9,Mid-Market,52000.0
2024 Q1,owner_10,Enterprise,59000.0
2024 Q1,owner_11,Enterprise,59000.0
2024 Q1,owner_12,Strategic,64000.0
2024 Q1,owner_13,Strategic,64000.0
2024 Q2,owner_1,SMB,73600.0
2024 Q2,owner_2,SMB,84640.0
2024 Q2,owner_3,SMB,97336.0
2024 Q2,owner_4,SMB,111936.4
2024 Q2,owner_5,SMB,128726.86
2024 Q2,owner_6,Mid-Market,148035.889
2024 Q2,owner_7,Mid-Market,170241.2724
2024 Q2,owner_8,Mid-Market,195777.4632
2024 Q2,owner_9,Mid-Market,225144.0827
2024 Q2,owner_10,Enterprise,258915.6951
2024 Q2,owner_11,Enterprise,297753.0493
2024 Q2,owner_12,Strategic,342416.0068
2024 Q2,owner_13,Strategic,393778.4078
2024 Q3,owner_1,SMB,452845.1689
2024 Q3,owner_2,SMB,520771.9443
2024 Q3,owner_3,SMB,598887.7359
2024 Q3,owner_4,SMB,688720.8963
2024 Q3,owner_5,SMB,792029.0307
2024 Q3,owner_6,Mid-Market,910833.3853
2024 Q3,owner_7,Mid-Market,1047458.393
2024 Q3,owner_8,Mid-Market,1204577.152
2024 Q3,owner_9,Mid-Market,1385263.725
2024 Q3,owner_10,Enterprise,1593053.284
2024 Q3,owner_11,Enterprise,1832011.276
2024 Q3,owner_12,Strategic,2106812.968
2024 Q3,owner_13,Strategic,2422834.913
2024 Q4,owner_1,SMB,2786260.15
2024 Q4,owner_2,SMB,3204199.172
2024 Q4,owner_3,SMB,3684829.048
2024 Q4,owner_4,SMB,4237553.405
2024 Q4,owner_5,SMB,4873186.416
2024 Q4,owner_6,Mid-Market,5604164.378
2024 Q4,owner_7,Mid-Market,6444789.035
2024 Q4,owner_8,Mid-Market,7411507.39
2024 Q4,owner_9,Mid-Market,8523233.499
2024 Q4,owner_10,Enterprise,9801718.524
2024 Q4,owner_11,Enterprise,11271976.3
2024 Q4,owner_12,Strategic,12962772.75
2024 Q4,owner_13,Strategic,14907188.66
2025 Q1,owner_1,SMB,17143266.96
2025 Q1,owner_2,SMB,19714757.0
2025 Q1,owner_3,SMB,22671970.55
2025 Q1,owner_4,SMB,26072766.14
2025 Q1,owner_5,SMB,29983681.06
2025 Q1,owner_6,Mid-Market,34481233.22
2025 Q1,owner_7,Mid-Market,39653418.2
2025 Q1,owner_8,Mid-Market,45601430.93
2025 Q1,owner_9,Mid-Market,52441645.57
2025 Q1,owner_10,Enterprise,60307892.4
2025 Q1,owner_11,Enterprise,69354076.26
2025 Q1,owner_12,Strategic,79757187.7
2025 Q1,owner_13,Strategic,91720765.86
2025 Q2,owner_1,SMB,105478880.7
2025 Q2,owner_2,SMB,121300712.8
2025 Q2,owner_3,SMB,139495819.8
2025 Q2,owner_4,SMB,160420192.7
2025 Q2,owner_5,SMB,184483221.6
2025 Q2,owner_6,Mid-Market,212155704.9
2025 Q2,owner_7,Mid-Market,243979060.6
2025 Q2,owner_8,Mid-Market,280575919.7
2025 Q2,owner_9,Mid-Market,322662307.7
2025 Q2,owner_10,Enterprise,371061653.8
2025 Q2,owner_11,Enterprise,426720901.9
2025 Q2,owner_12,Strategic,490729037.2
2025 Q2,owner_13,Strategic,564338392.8
2025 Q3,owner_1,SMB,648989151.7
2025 Q3,owner_2,SMB,746337524.4
2025 Q3,owner_3,SMB,858288153.1
2025 Q3,owner_4,SMB,987031376.1
2025 Q3,owner_5,SMB,1135086082.0
2025 Q3,owner_6,Mid-Market,1305348995.0
2025 Q3,owner_7,Mid-Market,1501151344.0
2025 Q3,owner_8,Mid-Market,1726324046.0
2025 Q3,owner_9,Mid-Market,1985272653.0
2025 Q3,owner_10,Enterprise,2283063550.0
2025 Q3,owner_11,Enterprise,2625523083.0
2025 Q3,owner_12,Strategic,3019351545.0
2025 Q3,owner_13,Strategic,3472254277.0
2025 Q4,owner_1,SMB,3993092419.0
2025 Q4,owner_2,SMB,4592056282.0
2025 Q4,owner_3,SMB,5280864724.0
2025 Q4,owner_4,SMB,6072994433.0
2025 Q4,owner_5,SMB,6983943597.0
2025 Q4,owner_6,Mid-Market,8031535137.0
2025 Q4,owner_7,Mid-Market,9236265408.0
2025 Q4,owner_8,Mid-Market,10621705219.0
2025 Q4,owner_9,Mid-Market,12214961002.0
2025 Q4,owner_10,Enterprise,14047205152.0
2025 Q4,owner_11,Enterprise,16154285925.0
2025 Q4,owner_12,Strategic,18577428813.0
2025 Q4,owner_13,Strategic,21364043135.0
